0: output to qw.tmove.dmc.o
30: Timestep is 1.15623161764706
613: Timestep is 1.15623161764706
1117: Timestep is 1.15623161764706
1961: Timestep is 1.15623161764706
1654: Timestep is 1.15623161764706
330: Timestep is 1.15623161764706
614: Timestep is 1.15623161764706
1118: Timestep is 1.15623161764706
1655: Timestep is 1.15623161764706
331: Timestep is 1.15623161764706
1656: Timestep is 1.15623161764706
332: Timestep is 1.15623161764706
1119: Timestep is 1.15623161764706
1657: Timestep is 1.15623161764706
333: Timestep is 1.15623161764706
1658: Timestep is 1.15623161764706
334: Timestep is 1.15623161764706
1120: Timestep is 1.15623161764706
1452: Timestep is 1.15623161764706
893: Timestep is 1.15623161764706
1121: Timestep is 1.15623161764706
1962: Timestep is 1.15623161764706
1453: Timestep is 1.15623161764706
335: Timestep is 1.15623161764706
31: Timestep is 1.15623161764706
615: Timestep is 1.15623161764706
894: Timestep is 1.15623161764706
1122: Timestep is 1.15623161764706
1963: Timestep is 1.15623161764706
1659: Timestep is 1.15623161764706
1454: Timestep is 1.15623161764706
32: Timestep is 1.15623161764706
895: Timestep is 1.15623161764706
1964: Timestep is 1.15623161764706
1455: Timestep is 1.15623161764706
33: Timestep is 1.15623161764706
616: Timestep is 1.15623161764706
896: Timestep is 1.15623161764706
1965: Timestep is 1.15623161764706
1456: Timestep is 1.15623161764706
336: Timestep is 1.15623161764706
34: Timestep is 1.15623161764706
617: Timestep is 1.15623161764706
897: Timestep is 1.15623161764706
1966: Timestep is 1.15623161764706
1457: Timestep is 1.15623161764706
35: Timestep is 1.15623161764706
618: Timestep is 1.15623161764706
898: Timestep is 1.15623161764706
1967: Timestep is 1.15623161764706
1660: Timestep is 1.15623161764706
1458: Timestep is 1.15623161764706
36: Timestep is 1.15623161764706
619: Timestep is 1.15623161764706
900: Timestep is 1.15623161764706
337: Timestep is 1.15623161764706
37: Timestep is 1.15623161764706
1968: Timestep is 1.15623161764706
1661: Timestep is 1.15623161764706
621: Timestep is 1.15623161764706
901: Timestep is 1.15623161764706
1123: Timestep is 1.15623161764706
338: Timestep is 1.15623161764706
1969: Timestep is 1.15623161764706
1662: Timestep is 1.15623161764706
339: Timestep is 1.15623161764706
622: Timestep is 1.15623161764706
1124: Timestep is 1.15623161764706
1663: Timestep is 1.15623161764706
902: Timestep is 1.15623161764706
1125: Timestep is 1.15623161764706
1972: Timestep is 1.15623161764706
1664: Timestep is 1.15623161764706
340: Timestep is 1.15623161764706
38: Timestep is 1.15623161764706
